organism,drugA,drugB,phi,ci.lower,ci.upper
E. coli,AMC,AMP,0.48,0.48,0.49
E. coli,AMC,CIP,0.24,0.23,0.25
E. coli,AMC,NIT,0.10,0.091,0.11
E. coli,AMP,CIP,0.40,0.39,0.41
E. coli,AMP,NIT,0.12,0.11,0.12
E. coli,CIP,NIT,0.14,0.13,0.15
K. pneumoniae,AMC,CIP,0.61,0.56,0.65
K. pneumoniae,AMC,NIT,0.14,0.13,0.15
K. pneumoniae,CIP,NIT,0.21,0.19,0.22
S. aureus,ERY,OXA,0.55,0.55,0.56
S. aureus,ERY,PEN,0.25,0.24,0.26
S. aureus,ERY,CIP,0.48,0.47,0.49
S. aureus,ERY,NIT,-0.002,-0.013,0.008
S. aureus,OXA,PEN,0.32,0.31,0.33
S. aureus,OXA,CIP,0.61,0.60,0.62
S. aureus,OXA,NIT,-0.012,-0.022,-0.002
S. aureus,PEN,CIP,0.15,0.14,0.16
S. aureus,PEN,NIT,0.001,-0.010,0.012
S. aureus,CIP,NIT,0.001,-0.009,0.012
