organism,drugA,drugB,drugB_pheno,period,t,mean_deviate,sem
E. coli,CIP,AMC,NS,52,1,-0.057,0.11
E. coli,CIP,AMC,NS,52,2,0.11,0.11
E. coli,CIP,AMC,NS,52,3,-0.042,0.11
E. coli,CIP,AMC,NS,52,4,-0.0073,0.11
E. coli,CIP,AMC,NS,52,5,-0.084,0.11
E. coli,CIP,AMC,NS,52,6,0.081,0.11
E. coli,CIP,AMC,NS,52,7,0.02,0.11
E. coli,CIP,AMC,NS,52,8,0.055,0.11
E. coli,CIP,AMC,NS,52,9,0.037,0.11
E. coli,CIP,AMC,NS,52,10,0.25,0.11
E. coli,CIP,AMC,NS,52,11,-0.0027,0.1
E. coli,CIP,AMC,NS,52,12,0.046,0.11
E. coli,CIP,AMC,NS,52,13,0.048,0.11
E. coli,CIP,AMC,NS,52,14,0.15,0.11
E. coli,CIP,AMC,NS,52,15,0.036,0.1
E. coli,CIP,AMC,NS,52,16,-0.02,0.11
E. coli,CIP,AMC,NS,52,17,-0.15,0.11
E. coli,CIP,AMC,NS,52,18,0.16,0.1
E. coli,CIP,AMC,NS,52,19,0.071,0.1
E. coli,CIP,AMC,NS,52,20,0.092,0.1
E. coli,CIP,AMC,NS,52,21,0.024,0.11
E. coli,CIP,AMC,NS,52,22,0.039,0.11
E. coli,CIP,AMC,NS,52,23,0.041,0.11
E. coli,CIP,AMC,NS,52,24,-0.012,0.1
E. coli,CIP,AMC,NS,52,25,0.016,0.1
E. coli,CIP,AMC,NS,52,26,-0.18,0.1
E. coli,CIP,AMC,NS,52,27,0.18,0.11
E. coli,CIP,AMC,NS,52,28,-0.047,0.1
E. coli,CIP,AMC,NS,52,29,0.037,0.1
E. coli,CIP,AMC,NS,52,30,0.021,0.1
E. coli,CIP,AMC,NS,52,31,-0.067,0.097
E. coli,CIP,AMC,NS,52,32,-0.12,0.098
E. coli,CIP,AMC,NS,52,33,-0.07,0.1
E. coli,CIP,AMC,NS,52,34,0.028,0.096
E. coli,CIP,AMC,NS,52,35,-0.1,0.094
E. coli,CIP,AMC,NS,52,36,0.0097,0.095
E. coli,CIP,AMC,NS,52,37,-0.046,0.092
E. coli,CIP,AMC,NS,52,38,-0.09,0.098
E. coli,CIP,AMC,NS,52,39,-0.037,0.098
E. coli,CIP,AMC,NS,52,40,0.069,0.094
E. coli,CIP,AMC,NS,52,41,-0.088,0.11
E. coli,CIP,AMC,NS,52,42,0.0054,0.096
E. coli,CIP,AMC,NS,52,43,-0.13,0.099
E. coli,CIP,AMC,NS,52,44,-0.17,0.098
E. coli,CIP,AMC,NS,52,45,0.12,0.1
E. coli,CIP,AMC,NS,52,46,-0.002,0.1
E. coli,CIP,AMC,NS,52,47,-0.095,0.1
