organism,drug_code,week,type,mean_deviate
E. coli,AMP,1,Actual mean MIC seasonal deviate,-0.041
E. coli,AMP,1,Predicted mean MIC seasonal deviate,0.0015
E. coli,AMP,2,Actual mean MIC seasonal deviate,-0.058
E. coli,AMP,2,Predicted mean MIC seasonal deviate,3.1e-4
E. coli,AMP,3,Actual mean MIC seasonal deviate,-0.042
E. coli,AMP,3,Predicted mean MIC seasonal deviate,0.0065
E. coli,AMP,4,Actual mean MIC seasonal deviate,-0.04
E. coli,AMP,4,Predicted mean MIC seasonal deviate,-0.0025
E. coli,AMP,5,Actual mean MIC seasonal deviate,0.027
E. coli,AMP,5,Predicted mean MIC seasonal deviate,-0.0035
E. coli,AMP,6,Actual mean MIC seasonal deviate,0.016
E. coli,AMP,6,Predicted mean MIC seasonal deviate,0.0054
E. coli,AMP,7,Actual mean MIC seasonal deviate,0.015
E. coli,AMP,7,Predicted mean MIC seasonal deviate,-6.8e-4
E. coli,AMP,8,Actual mean MIC seasonal deviate,-0.033
E. coli,AMP,8,Predicted mean MIC seasonal deviate,-0.0032
E. coli,AMP,9,Actual mean MIC seasonal deviate,-0.018
E. coli,AMP,9,Predicted mean MIC seasonal deviate,0.0045
E. coli,AMP,10,Actual mean MIC seasonal deviate,0.081
E. coli,AMP,10,Predicted mean MIC seasonal deviate,-1.5e-4
E. coli,AMP,11,Actual mean MIC seasonal deviate,-0.0026
E. coli,AMP,11,Predicted mean MIC seasonal deviate,0.0046
E. coli,AMP,12,Actual mean MIC seasonal deviate,0.028
E. coli,AMP,12,Predicted mean MIC seasonal deviate,-0.0012
E. coli,AMP,13,Actual mean MIC seasonal deviate,-0.021
E. coli,AMP,13,Predicted mean MIC seasonal deviate,0.0034
E. coli,AMP,14,Actual mean MIC seasonal deviate,-0.015
E. coli,AMP,14,Predicted mean MIC seasonal deviate,-0.0011
E. coli,AMP,15,Actual mean MIC seasonal deviate,0.011
E. coli,AMP,15,Predicted mean MIC seasonal deviate,-0.0046
E. coli,AMP,16,Actual mean MIC seasonal deviate,0.095
E. coli,AMP,16,Predicted mean MIC seasonal deviate,7.8e-5
E. coli,AMP,17,Actual mean MIC seasonal deviate,-0.024
E. coli,AMP,17,Predicted mean MIC seasonal deviate,0.0012
E. coli,AMP,18,Actual mean MIC seasonal deviate,0.029
E. coli,AMP,18,Predicted mean MIC seasonal deviate,-4.5e-4
E. coli,AMP,19,Actual mean MIC seasonal deviate,0.048
E. coli,AMP,19,Predicted mean MIC seasonal deviate,0.0025
E. coli,AMP,20,Actual mean MIC seasonal deviate,0.032
E. coli,AMP,20,Predicted mean MIC seasonal deviate,-0.0012
E. coli,AMP,21,Actual mean MIC seasonal deviate,-0.014
E. coli,AMP,21,Predicted mean MIC seasonal deviate,0.0024
E. coli,AMP,22,Actual mean MIC seasonal deviate,0.044
E. coli,AMP,22,Predicted mean MIC seasonal deviate,0.0032
E. coli,AMP,23,Actual mean MIC seasonal deviate,-0.023
E. coli,AMP,23,Predicted mean MIC seasonal deviate,0.0039
E. coli,AMP,24,Actual mean MIC seasonal deviate,-0.014
E. coli,AMP,24,Predicted mean MIC seasonal deviate,-0.0012
E. coli,AMP,25,Actual mean MIC seasonal deviate,-0.012
E. coli,AMP,25,Predicted mean MIC seasonal deviate,6e-4
E. coli,AMP,26,Actual mean MIC seasonal deviate,-0.025
E. coli,AMP,26,Predicted mean MIC seasonal deviate,-0.005
E. coli,AMP,27,Actual mean MIC seasonal deviate,0.0096
E. coli,AMP,27,Predicted mean MIC seasonal deviate,0.0055
E. coli,AMP,28,Actual mean MIC seasonal deviate,-0.014
E. coli,AMP,28,Predicted mean MIC seasonal deviate,-8.8e-4
E. coli,AMP,29,Actual mean MIC seasonal deviate,-0.031
E. coli,AMP,29,Predicted mean MIC seasonal deviate,-0.0048
E. coli,AMP,30,Actual mean MIC seasonal deviate,-0.05
E. coli,AMP,30,Predicted mean MIC seasonal deviate,9.5e-4
E. coli,AMP,31,Actual mean MIC seasonal deviate,-0.016
E. coli,AMP,31,Predicted mean MIC seasonal deviate,4.6e-4
E. coli,AMP,32,Actual mean MIC seasonal deviate,-0.069
E. coli,AMP,32,Predicted mean MIC seasonal deviate,-0.0039
E. coli,AMP,33,Actual mean MIC seasonal deviate,-0.11
E. coli,AMP,33,Predicted mean MIC seasonal deviate,-0.0021
E. coli,AMP,34,Actual mean MIC seasonal deviate,-0.059
E. coli,AMP,34,Predicted mean MIC seasonal deviate,-2.5e-4
E. coli,AMP,35,Actual mean MIC seasonal deviate,0.017
E. coli,AMP,35,Predicted mean MIC seasonal deviate,-0.0019
E. coli,AMP,36,Actual mean MIC seasonal deviate,-0.016
E. coli,AMP,36,Predicted mean MIC seasonal deviate,-0.0049
E. coli,AMP,37,Actual mean MIC seasonal deviate,0.0038
E. coli,AMP,37,Predicted mean MIC seasonal deviate,-0.0067
E. coli,AMP,38,Actual mean MIC seasonal deviate,-0.018
E. coli,AMP,38,Predicted mean MIC seasonal deviate,-0.0058
E. coli,AMP,39,Actual mean MIC seasonal deviate,-0.032
E. coli,AMP,39,Predicted mean MIC seasonal deviate,-0.006
E. coli,AMP,40,Actual mean MIC seasonal deviate,0.022
E. coli,AMP,40,Predicted mean MIC seasonal deviate,-0.006
E. coli,AMP,41,Actual mean MIC seasonal deviate,0.013
E. coli,AMP,41,Predicted mean MIC seasonal deviate,0.0023
E. coli,AMP,42,Actual mean MIC seasonal deviate,0.07
E. coli,AMP,42,Predicted mean MIC seasonal deviate,0.0027
E. coli,AMP,43,Actual mean MIC seasonal deviate,0.026
E. coli,AMP,43,Predicted mean MIC seasonal deviate,-9.2e-4
E. coli,AMP,44,Actual mean MIC seasonal deviate,0.056
E. coli,AMP,44,Predicted mean MIC seasonal deviate,0.0064
E. coli,AMP,45,Actual mean MIC seasonal deviate,0.0048
E. coli,AMP,45,Predicted mean MIC seasonal deviate,7.2e-4
E. coli,AMP,46,Actual mean MIC seasonal deviate,0.057
E. coli,AMP,46,Predicted mean MIC seasonal deviate,-0.0029
E. coli,AMP,47,Actual mean MIC seasonal deviate,0.068
E. coli,AMP,47,Predicted mean MIC seasonal deviate,-7e-5
E. coli,AMP,48,Actual mean MIC seasonal deviate,-0.071
E. coli,AMP,48,Predicted mean MIC seasonal deviate,0.0041
E. coli,AMP,49,Actual mean MIC seasonal deviate,-0.021
E. coli,AMP,49,Predicted mean MIC seasonal deviate,3.7e-4
E. coli,AMP,50,Actual mean MIC seasonal deviate,0.057
E. coli,AMP,50,Predicted mean MIC seasonal deviate,-6.1e-4
E. coli,AMP,51,Actual mean MIC seasonal deviate,0.076
E. coli,AMP,51,Predicted mean MIC seasonal deviate,2.9e-4
E. coli,AMP,52,Actual mean MIC seasonal deviate,0.0026
E. coli,AMP,52,Predicted mean MIC seasonal deviate,0.013
E. coli,CIP,1,Actual mean MIC seasonal deviate,-0.01
E. coli,CIP,1,Predicted mean MIC seasonal deviate,-0.012
E. coli,CIP,2,Actual mean MIC seasonal deviate,0.037
E. coli,CIP,2,Predicted mean MIC seasonal deviate,-0.0096
E. coli,CIP,3,Actual mean MIC seasonal deviate,0.016
E. coli,CIP,3,Predicted mean MIC seasonal deviate,0.0048
E. coli,CIP,4,Actual mean MIC seasonal deviate,0.043
E. coli,CIP,4,Predicted mean MIC seasonal deviate,-0.013
E. coli,CIP,5,Actual mean MIC seasonal deviate,0.016
E. coli,CIP,5,Predicted mean MIC seasonal deviate,-0.02
E. coli,CIP,6,Actual mean MIC seasonal deviate,0.036
E. coli,CIP,6,Predicted mean MIC seasonal deviate,2.4e-4
E. coli,CIP,7,Actual mean MIC seasonal deviate,0.076
E. coli,CIP,7,Predicted mean MIC seasonal deviate,-0.0093
E. coli,CIP,8,Actual mean MIC seasonal deviate,6.8e-4
E. coli,CIP,8,Predicted mean MIC seasonal deviate,-0.017
E. coli,CIP,9,Actual mean MIC seasonal deviate,0.037
E. coli,CIP,9,Predicted mean MIC seasonal deviate,-0.014
E. coli,CIP,10,Actual mean MIC seasonal deviate,0.084
E. coli,CIP,10,Predicted mean MIC seasonal deviate,-0.014
E. coli,CIP,11,Actual mean MIC seasonal deviate,0.02
E. coli,CIP,11,Predicted mean MIC seasonal deviate,0.01
E. coli,CIP,12,Actual mean MIC seasonal deviate,0.069
E. coli,CIP,12,Predicted mean MIC seasonal deviate,-0.007
E. coli,CIP,13,Actual mean MIC seasonal deviate,0.074
E. coli,CIP,13,Predicted mean MIC seasonal deviate,0.0067
E. coli,CIP,14,Actual mean MIC seasonal deviate,0.028
E. coli,CIP,14,Predicted mean MIC seasonal deviate,-0.0096
E. coli,CIP,15,Actual mean MIC seasonal deviate,0.065
E. coli,CIP,15,Predicted mean MIC seasonal deviate,-0.012
E. coli,CIP,16,Actual mean MIC seasonal deviate,0.068
E. coli,CIP,16,Predicted mean MIC seasonal deviate,5.3e-4
E. coli,CIP,17,Actual mean MIC seasonal deviate,0.0073
E. coli,CIP,17,Predicted mean MIC seasonal deviate,-0.0047
E. coli,CIP,18,Actual mean MIC seasonal deviate,0.025
E. coli,CIP,18,Predicted mean MIC seasonal deviate,-0.0041
E. coli,CIP,19,Actual mean MIC seasonal deviate,0.048
E. coli,CIP,19,Predicted mean MIC seasonal deviate,-9.6e-4
