organism,drugA,drugB,drugB_pheno,period,t,mean_deviate,sem
E. coli,NIT,AMC,NS,52,1,0.011,0.055
E. coli,NIT,AMC,NS,52,2,-0.045,0.057
E. coli,NIT,AMC,NS,52,3,-0.035,0.046
E. coli,NIT,AMC,NS,52,4,0.1,0.065
E. coli,NIT,AMC,NS,52,5,0.077,0.062
E. coli,NIT,AMC,NS,52,6,0.11,0.061
E. coli,NIT,AMC,NS,52,7,0.083,0.064
E. coli,NIT,AMC,NS,52,8,0.083,0.068
E. coli,NIT,AMC,NS,52,9,0.037,0.056
E. coli,NIT,AMC,NS,52,10,0.012,0.053
E. coli,NIT,AMC,NS,52,11,0.033,0.051
E. coli,NIT,AMC,NS,52,12,-0.022,0.052
E. coli,NIT,AMC,NS,52,13,0.0085,0.058
E. coli,NIT,AMC,NS,52,14,0.067,0.057
E. coli,NIT,AMC,NS,52,15,-0.024,0.05
E. coli,NIT,AMC,NS,52,16,-0.028,0.048
E. coli,NIT,AMC,NS,52,17,-0.035,0.053
E. coli,NIT,AMC,NS,52,18,0.029,0.055
E. coli,NIT,AMC,NS,52,19,0.11,0.06
E. coli,NIT,AMC,NS,52,20,0.1,0.059
E. coli,NIT,AMC,NS,52,21,0.077,0.061
E. coli,NIT,AMC,NS,52,22,-0.029,0.053
E. coli,NIT,AMC,NS,52,23,0.017,0.059
E. coli,NIT,AMC,NS,52,24,-0.034,0.048
E. coli,NIT,AMC,NS,52,25,-0.016,0.054
E. coli,NIT,AMC,NS,52,26,-0.0058,0.053
E. coli,NIT,AMC,NS,52,27,-0.018,0.049
E. coli,NIT,AMC,NS,52,28,-0.076,0.049
E. coli,NIT,AMC,NS,52,29,0.029,0.056
E. coli,NIT,AMC,NS,52,30,-0.037,0.048
E. coli,NIT,AMC,NS,52,31,-0.059,0.046
E. coli,NIT,AMC,NS,52,32,0.016,0.049
E. coli,NIT,AMC,NS,52,33,-0.028,0.05
E. coli,NIT,AMC,NS,52,34,-0.15,0.039
E. coli,NIT,AMC,NS,52,35,-0.13,0.04
E. coli,NIT,AMC,NS,52,36,0.055,0.056
E. coli,NIT,AMC,NS,52,37,-0.12,0.039
