organism,drugA,drugB,drugB_pheno,omega,amplitude_ci.lower,amplitude_ci.upper,amplitude_estimate,amplitude_p.value.BH,phase_ci.lower,phase_ci.upper,phase_estimate,phase_p.value.BH
E. coli,NIT,AMC,NS,0.12,0.013,0.074,0.044,0.0084,5.1,14,9.7,2.9e-52
E. coli,NIT,AMC,S,0.12,0.012,0.03,0.021,2e-5,5.2,11,8.3,2.8e-7
E. coli,NIT,AMP,NS,0.12,0.0094,0.039,0.024,0.0031,6.6,14,10,9.4e-8
E. coli,NIT,AMP,S,0.12,0.018,0.036,0.027,2.5e-8,5.7,11,8.1,5.9e-11
K. pneumoniae,NIT,AMC,NS,0.12,-0.018,0.3,0.14,0.1,3.7,17,10,9.599999999999997e-178
K. pneumoniae,NIT,AMC,S,0.12,-5.4e-4,0.073,0.036,0.076,38,53,45,0.089
S. aureus,NIT,ERY,NS,0.12,0.026,0.051,0.038,4.4e-8,2.4,8.8,5.6,0.001
S. aureus,NIT,ERY,S,0.12,0.0054,0.039,0.022,0.014,3.5,14,8.8,0.0019
S. aureus,NIT,OXA,NS,0.12,0.024,0.051,0.037,4.4e-7,-1.4,7.3,3,0.22
S. aureus,NIT,OXA,S,0.12,0.016,0.044,0.03,1e-4,5.7,12,9,0
S. aureus,NIT,PEN,NS,0.12,0.021,0.045,0.033,9e-7,3.2,9.8,6.5,4.199999999999999e-157
S. aureus,NIT,PEN,S,0.12,-0.0019,0.061,0.03,0.087,0.22,16,8.2,0.059
