year,month,week,drug_class,claims_per_1000ppl
2011,1,1,Macrolides,4.739573493949126
2011,1,1,Nitrofurans,0.2389234000466734
2011,1,1,Penicillins,5.106293131230066
2011,1,1,Quinolones,1.6419038305533022
2011,1,1,Tetracyclines,0.8890173024992499
2011,1,2,Macrolides,3.8950070565748383
2011,1,2,Nitrofurans,0.28337426517163594
2011,1,2,Penicillins,4.4173047217931485
2011,1,2,Quinolones,1.4918821607565538
2011,1,2,Tetracyclines,0.7667774234056031
2011,1,3,Macrolides,3.619967328614133
2011,1,3,Nitrofurans,0.23614522097636328
2011,1,3,Penicillins,4.006134219387245
2011,1,3,Quinolones,1.372420460733217
2011,1,3,Tetracyclines,0.6500939024525765
2011,1,4,Macrolides,3.597741896051652
2011,1,4,Nitrofurans,0.2472579372576039
2011,1,4,Penicillins,4.200606754308955
2011,1,4,Quinolones,1.4474312956315911
2011,1,4,Tetracyclines,0.7751119606165334
2011,1,5,Macrolides,3.7838798937624327
2011,1,5,Nitrofurans,0.25559247446853434
2011,1,5,Penicillins,4.206163112449576
2011,1,5,Quinolones,1.386311356084768
2011,1,5,Tetracyclines,0.7556647071243624
2011,2,6,Macrolides,4.082544195787817
2011,2,6,Nitrofurans,0.2178809444049535
2011,2,6,Penicillins,4.763422147053296
2011,2,6,Quinolones,1.4924844691739316
2011,2,6,Tetracyclines,0.7843713998578327
2011,2,7,Macrolides,4.210549250625727
2011,2,7,Nitrofurans,0.3077568339719968
2011,2,7,Penicillins,5.133819752541718
2011,2,7,Quinolones,1.5387841698599842
2011,2,7,Tetracyclines,0.8388416359590711
2011,2,8,Macrolides,3.5759710000462994
2011,2,8,Nitrofurans,0.17430475552396282
2011,2,8,Penicillins,4.455665313081299
2011,2,8,Quinolones,1.3535853671157738
2011,2,8,Tetracyclines,0.604619620723746
2011,2,9,Macrolides,3.9463686055347207
2011,2,9,Nitrofurans,0.23422201523532504
2011,2,9,Penicillins,4.86691559564565
2011,2,9,Quinolones,1.5278901226397366
2011,2,9,Tetracyclines,0.7870949116628946
2011,3,10,Macrolides,3.902348504281667
2011,3,10,Nitrofurans,0.2346866932644919
2011,3,10,Penicillins,4.486336322404938
2011,3,10,Quinolones,1.3862888392832775
2011,3,10,Tetracyclines,0.6958733346795981
2011,3,11,Macrolides,3.6485594057514614
2011,3,11,Nitrofurans,0.2565180135681656
2011,3,11,Penicillins,4.628239904378817
2011,3,11,Quinolones,1.4053912445489922
2011,3,11,Tetracyclines,0.7777407858183744
2011,3,12,Macrolides,3.645830490713502
2011,3,12,Nitrofurans,0.22104211807469587
2011,3,12,Penicillins,4.726480845745349
2011,3,12,Quinolones,1.3999334144730735
2011,3,12,Tetracyclines,0.7586383805526599
2011,3,13,Macrolides,3.8641436937502385
2011,3,13,Nitrofurans,0.21012645792285903
2011,3,13,Penicillins,4.884757917946982
2011,3,13,Quinolones,1.4299514798906252
2011,3,13,Tetracyclines,0.8350480016155177
2011,4,14,Macrolides,3.913336302508229
2011,4,14,Nitrofurans,0.26613945707550757
2011,4,14,Penicillins,4.646577663838709
2011,4,14,Quinolones,1.3822957515452383
2011,4,14,Tetracyclines,0.7712612837698383
2011,4,15,Macrolides,3.4054987670682295
2011,4,15,Nitrofurans,0.28243370954951824
2011,4,15,Penicillins,4.7579217224111146
2011,4,15,Quinolones,1.3497072465972169
2011,4,15,Tetracyclines,0.806565497463528
2011,4,16,Macrolides,3.329458922189513
2011,4,16,Nitrofurans,0.25256091334716535
2011,4,16,Penicillins,3.9486405162019182
2011,4,16,Quinolones,1.13516625568941
2011,4,16,Tetracyclines,0.7984183712265227
2011,4,17,Macrolides,3.432655854524914
2011,4,17,Nitrofurans,0.2009624471794649
2011,4,17,Penicillins,3.8454435838665177
2011,4,17,Quinolones,1.393158586527912
2011,4,17,Tetracyclines,0.7929869537351859
2011,4,18,Macrolides,3.3810573883572133
2011,4,18,Nitrofurans,0.28243370954951824
2011,4,18,Penicillins,3.867169253831865
2011,4,18,Quinolones,1.4393256352042756
2011,4,18,Tetracyclines,0.904331012307592
2011,5,19,Macrolides,3.5072277511083274
2011,5,19,Nitrofurans,0.2645945493522833
2011,5,19,Penicillins,3.866320353800712
2011,5,19,Quinolones,1.4579699658187042
2011,5,19,Tetracyclines,0.8747819794912224
2011,5,20,Macrolides,3.6665244695959265
2011,5,20,Nitrofurans,0.2564947162088461
2011,5,20,Penicillins,4.0850158486735175
2011,5,20,Quinolones,1.349972190572874
2011,5,20,Tetracyclines,0.8882817013969513
2011,5,21,Macrolides,3.6530247476901976
2011,5,21,Nitrofurans,0.30239377068832385
2011,5,21,Penicillins,4.039116794194039
2011,5,21,Quinolones,1.544368186015368
2011,5,21,Tetracyclines,0.7316849272904977
2011,5,22,Macrolides,2.9672388748791776
2011,5,22,Nitrofurans,0.2051957729670769
2011,5,22,Penicillins,3.3668306432887483
2011,5,22,Quinolones,1.3283726355237082
2011,5,22,Tetracyclines,0.7640842598642468
2011,6,23,Macrolides,3.2921632436471535
2011,6,23,Nitrofurans,0.28698133538371573
2011,6,23,Penicillins,3.676609938217791
2011,6,23,Quinolones,1.4728098721579372
2011,6,23,Tetracyclines,0.8609440061511471
2011,6,24,Macrolides,3.246137935142218
2011,6,24,Nitrofurans,0.23824865579025456
2011,6,24,Penicillins,3.5845593212079208
2011,6,24,Quinolones,1.380759255148066
2011,6,24,Tetracyclines,0.8149186976462116
2011,6,25,Macrolides,3.154087318132347
2011,6,25,Nitrofurans,0.2517855112328827
2011,6,25,Penicillins,3.3084074701783077
2011,6,25,Quinolones,1.3509781731742845
2011,6,25,Tetracyclines,0.8446997796199934
2011,6,26,Macrolides,2.867105982748632
2011,6,26,Nitrofurans,0.27885922211813885
2011,6,26,Penicillins,3.0809882987421555
2011,6,26,Quinolones,1.3861739973251173
2011,6,26,Tetracyclines,0.8311629241773653
2011,7,27,Macrolides,2.422267598529376
2011,7,27,Nitrofurans,0.24276624038713124
2011,7,27,Penicillins,2.662336436245539
2011,7,27,Quinolones,1.2354104233034011
2011,7,27,Tetracyclines,0.7256013184904255
2011,7,28,Macrolides,2.745955919045551
2011,7,28,Nitrofurans,0.28592468312262126
2011,7,28,Penicillins,2.8268779991745947
2011,7,28,Quinolones,1.4808740663615003
2011,7,28,Tetracyclines,0.8146156066323736
2011,7,29,Macrolides,2.635362409535858
2011,7,29,Nitrofurans,0.25895065641293996
2011,7,29,Penicillins,2.807996180477818
2011,7,29,Quinolones,1.507848093071182
2011,7,29,Tetracyclines,0.7876415799226923
2011,7,30,Macrolides,2.4950974706455153
2011,7,30,Nitrofurans,0.3048065018193981
2011,7,30,Penicillins,2.8160883884907224
2011,7,30,Quinolones,1.5294273144389268
2011,7,30,Tetracyclines,0.7687597612259156
2011,7,31,Macrolides,2.6218753961810175
2011,7,31,Nitrofurans,0.31559611250327063
2011,7,31,Penicillins,2.7729299457552323
2011,7,31,Quinolones,1.4781766636905322
2011,7,31,Tetracyclines,0.7714571638968837
2011,8,32,Macrolides,2.745105567271541
2011,8,32,Nitrofurans,0.2769786836108148
2011,8,32,Penicillins,2.9699793500050733
2011,8,32,Quinolones,1.5000726726249078
2011,8,32,Tetracyclines,0.7678616971388925
2011,8,33,Macrolides,2.7889833785366203
2011,8,33,Nitrofurans,0.2961752260392871
2011,8,33,Penicillins,2.714939572026798
2011,8,33,Quinolones,1.4671643141760982
2011,8,33,Tetracyclines,0.7678616971388925
2011,8,34,Macrolides,2.643638128721044
2011,8,34,Nitrofurans,0.34279540050843416
2011,8,34,Penicillins,2.8739966378627115
2011,8,34,Quinolones,1.3629545124215343
2011,8,34,Tetracyclines,0.8748138620975239
2011,8,35,Macrolides,2.5503977797827497
2011,8,35,Nitrofurans,0.2989175892433546
2011,8,35,Penicillins,2.629926312700707
2011,8,35,Quinolones,1.3465003331971293
2011,8,35,Tetracyclines,0.7267262490778804
2011,9,36,Macrolides,2.4357166834508224
2011,9,36,Nitrofurans,0.3249412554548506
2011,9,36,Penicillins,2.4733131923464247
2011,9,36,Quinolones,1.2406847935548844
2011,9,36,Tetracyclines,0.6982208794897616
2011,9,37,Macrolides,2.7338032896945283
2011,9,37,Nitrofurans,0.33031218529707956
2011,9,37,Penicillins,2.8627056059080225
2011,9,37,Quinolones,1.4259818731117826
2011,9,37,Tetracyclines,0.7868412218865392
2011,9,38,Macrolides,2.9191003692514266
2011,9,38,Nitrofurans,0.338368580060423
2011,9,38,Penicillins,3.0748573346760657
2011,9,38,Quinolones,1.256797583081571
2011,9,38,Tetracyclines,0.7680429674387379
2011,9,39,Macrolides,3.2574689493118494
2011,9,39,Nitrofurans,0.287344746559248
2011,9,39,Penicillins,3.287009063444109
2011,9,39,Quinolones,1.41255454850621
2011,9,39,Tetracyclines,0.7250755287009063
2011,10,40,Macrolides,3.487874083195032
2011,10,40,Nitrofurans,0.39616681835216017
2011,10,40,Penicillins,3.3540339418598424
2011,10,40,Quinolones,1.456180737726859
2011,10,40,Tetracyclines,0.872637721505434
2011,10,41,Macrolides,3.038171208308796
2011,10,41,Nitrofurans,0.31050912789763907
2011,10,41,Penicillins,3.297821082499063
2011,10,41,Quinolones,1.2366829059371487
2011,10,41,Tetracyclines,0.722736763210022
2011,10,42,Macrolides,3.3620643503399537
2011,10,42,Nitrofurans,0.3212163392044542
2011,10,42,Penicillins,3.63509823866374
2011,10,42,Quinolones,1.3437550190053
2011,10,42,Tetracyclines,0.8351624819315808
2011,10,43,Macrolides,3.380801970126881
2011,10,43,Nitrofurans,0.323893142031158
2011,10,43,Penicillins,3.739493548905188
2011,10,43,Quinolones,1.3009261737780395
2011,10,43,Tetracyclines,0.8405160875849884
2011,10,44,Macrolides,3.7421703517318914
2011,10,44,Nitrofurans,0.33192355051126937
2011,10,44,Penicillins,3.945607366561379
