organism,drug_code,drug_name,drug_class,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,amplitude,NA,0.030732748761872444,0.015967087806574673,0.045498409717170216,0.007533638919779866,-4.079402940481048,4.517844717063317e-5,1.0165150613392464e-4
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,phase,NA,17.986099824366143,16.095920970405682,19.876278678326603,0.9643946872850475,-21.789730338303645,4.4860218198899774e-105,2.01870981895049e-104
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2007,-0.003994282838910393,-0.008298269730418696,3.097040525979113e-4,0.002195952030474847,-1.8189299144420195,0.06892442682546937,0.24016965223720255
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2008,-7.903585602770074e-4,-0.0048494325880010705,0.003268715467447055,0.002070994191598173,-0.381632436963569,0.702734645653178,0.8408993062634665
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2009,-0.0013002419667383826,-0.005209610366553321,0.0026091264330765553,0.001994612365661583,-0.6518770208802511,0.5144816643753547,0.7156164714356786
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2010,3.6652856511282055e-4,-0.0034393683109419735,0.004172425441167614,0.001941819801830658,0.18875518972835395,0.8502849889918729,0.9094820451875095
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2011,-0.0014385838538502132,-0.005109029488546903,0.002231861780846477,0.001872710755732604,-0.7681826194710136,0.44238009558141456,0.6739245644270723
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2012,0.0016209462874201322,-0.001930442977347339,0.005172335552187603,0.001811966593662117,0.8945784613744348,0.37101412891863117,0.6208058196757293
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2013,0.0015399002396316453,-0.002108025000688525,0.005187825479951816,0.0018612205474664537,0.8273604338442326,0.4080343207724849,0.663055771255288
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2014,0.0021470255154548237,-0.0015525401176994312,0.005846591148609078,0.0018875681708112788,1.137455880352141,0.25534985844059305,0.5317620195911347
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2015,0.0011714745906289915,-0.0026855553546317593,0.005028504535889742,0.001967908581833397,0.5952891315396319,0.55165125760507006,0.7428610560578234
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2016,0.0029868213622629464,-7.589406165159043e-4,0.0067325833410417976,0.0019111381680096899,1.5628495167220178,0.11809043252151723,0.3254992477777078
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2017,0.0015681142543876856,-0.0021271790654359564,0.005263407574211327,0.0018853883790578016,0.831719486449434,0.4055688292119568,0.663055771255288
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2018,-0.002269279239797428,-0.00594822042940827,0.0014096619498134145,0.0018770453021738473,-1.2089634902094937,0.22667907477867869,0.508684846789749
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,BWH_2019,-0.001565218965971505,-0.004814804095768412,0.0016843661638254023,0.0016579820626446305,-0.9440506029810962,0.3451455475936508,0.6197118905745052
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2007,-0.004687688798140055,-0.0076661488200240775,-0.0017092287762560318,0.0015196503840773279,-3.084715305083962,0.0020378988510159684,0.01812657399061572
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2008,-0.005778131193556737,-0.00866696367724906,-0.0028892987098644144,0.0014739212079808944,-3.920244285969753,8.850463785057713e-5,0.0011965827037398028
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2009,0.0026016215908995855,-2.6042853729152295e-4,0.005463671719090694,0.0014602564897960347,1.7816196052400177,0.07481362293138591,0.24562224466247107
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2010,5.33603054117522e-4,-0.002262798693633713,0.0033300048018687573,0.001426761802670302,0.3739958927403579,0.7084079829306741,0.8408993062634665
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2011,0.0010621238646556118,-0.0016219358717667201,0.0037461836010779436,0.0013694433967123137,0.7755879996248853,0.43799370146385763,0.6739245644270723
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2012,0.0015685876614589377,-0.001124317778921087,0.0042614931018389625,0.0013739565939075002,1.1416573626957978,0.25359857670339503,0.5317620195911347
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2013,0.0032464476205617903,6.220116116786053e-4,0.005870883629444976,0.0013390225685698319,2.424490592439543,0.015331236818254093,0.07972243145492129
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2014,-1.0142238787056068e-4,-0.0027365621308956217,0.0025337173551545004,0.001344483757768361,-0.07543593389250493,0.9398679858126613,0.95731963371384
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2015,-0.0015301337286075095,-0.004176234797798892,0.0011159673405838728,0.0013500763738841584,-1.1333682732372596,0.2570617254722028,0.5317620195911347
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,slope,MGH_2016,-0.0024406352664173097,-0.005099693688978219,2.1842315614359993e-4,0.0013566873899394192,-1.7989665744046552,0.07202629072826437,0.24313104318909148
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2007,3.003231160803138,2.871295884807756,3.13516643679852,0.06731515325591213,44.614488945538746,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2008,2.884700934384695,2.7597668701993037,3.0096349985700863,0.06374304077567511,45.25515098246649,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2009,3.030298923245043,2.911108175731054,3.1494896707590314,0.0608127233225458,49.83001512977113,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2010,3.104556007694371,2.9866552978287935,3.2224567175599486,0.060154528754387045,51.609680467623264,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2011,3.206908560575981,3.0934942777490697,3.3203228434028924,0.057865493305748895,55.420050489008396,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2012,3.164384846607902,3.0550391165930817,3.2737305766227225,0.05578966291081135,56.7199133586212,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2013,3.1491132676371487,3.0380604689554236,3.260166066318874,0.056660632316560676,55.578505549376494,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2014,3.2757424269762034,3.164086674680243,3.387398179272164,0.056968267364444845,57.50117703282418,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2015,3.2735537145404767,3.154508567372566,3.3925988617083873,0.060738436066643905,53.89591709191594,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2016,3.251691987001021,3.1359239583669205,3.3674600156351215,0.059066406090756814,55.05146160416,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2017,3.1958886548329004,3.0820984743295705,3.3096788353362303,0.05805728135868428,55.04716342276429,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2018,3.411858399538938,3.2984049636589443,3.5253118354189317,0.05788546972031115,58.941534309460174,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,BWH_2019,3.2999375824416215,3.198534733176772,3.401340431706471,0.05173709826542844,63.782811426954204,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2007,3.072276914332287,2.981082316374939,3.1634715122896346,0.04652871107667238,66.02970173125219,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2008,3.0757872594438935,2.9866908195151227,3.1648836993726643,0.04545820261573794,67.6618757992652,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2009,2.899305968369459,2.811111995869375,2.987499940869543,0.04499775158918579,64.43224085592406,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2010,3.004582460121751,2.9193335194214853,3.0898314008220167,0.04349515673384732,69.07855232036965,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2011,3.0286800664616504,2.9456991093008624,3.1116610236224385,0.04233800101192234,71.53573607806324,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2012,3.1905882235160203,3.1072034736091814,3.2739729734228593,0.04254402150476599,74.99498426961343,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2013,3.11006279839128,3.0291610497565324,3.1909645470260273,0.04127716084218393,75.3458507062069,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2014,3.3094475438016406,3.2286512446391566,3.3902438429641246,0.04122335910240954,80.28087996371457,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2015,3.3667799384053354,3.284450518283052,3.4491093585276187,0.04200557804719232,80.15078222760877,0,0
E. coli,AMP,Ampicillin,Penicillins,26,0.241660973353061,520926.57999827294,intercept,MGH_2016,3.3444304328301717,3.263353490582621,3.4255073750777223,0.04136654698100319,80.84867306826548,0,0
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,amplitude,NA,0.04099858737176674,0.01947791331466865,0.06251926142886483,0.010980137506020735,-3.7338865154726886,1.8862799067845306e-4,3.772559813569061e-4
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,phase,NA,10.755823811334935,7.706097246725243,13.80555037594462,1.5560115332044602,23.621819650423642,4.192333770655695e-123,2.515400262393417e-122
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2007,-0.0020537064683279955,-0.006431088921847619,0.0023236759851916282,0.002233399433891571,-0.9195428444922318,0.35781341553458523,0.6197118905745052
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2008,0.0011907845100032211,-0.0029527124161341962,0.005334281436140639,0.0021140678904412497,0.5632669203233014,0.5732541130734305,0.751007326429533
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2009,6.780301057256529e-4,-0.003316404198091312,0.004672464409542617,0.0020380141346088773,0.33269156195316385,0.739367657036299,0.8613567544772448
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2010,0.0023327829385510913,-0.001554662472509794,0.006220228349611976,0.0019834269617832576,1.1761375556041322,0.2395420700868802,0.5167817959078991
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2011,5.209821032788028e-4,-0.0032354387336061296,0.0042774029401637355,0.0019165764608508637,0.27182954289625,0.7857535207033375,0.8813090034679892
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2012,0.003596900579384128,-4.3898450998212414e-5,0.0072376996097664684,0.0018575846592593028,1.9363319789787474,0.05282922292276563,0.20260525047711614
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2013,0.0034953721518624034,-2.364071927516754e-4,0.0072271514964764826,0.0019040040398955692,1.8358008064174682,0.0663894087548874,0.23620652799107306
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2014,0.004105299866829214,3.2178903059901275e-4,0.007888810703059416,0.0019303981430649,2.126659664265536,0.03345025248064652,0.1470657922780731
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2015,0.003122669810427864,-8.134017257195735e-4,0.007058741346575302,0.002008236665160518,1.5549311814692268,0.11996489867154539,0.3270010947659866
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2016,0.00493276764569429,0.001104734069401282,0.008760801221987299,0.0019531142441841021,2.525590942968579,0.011551568356081935,0.06731776041992575
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2017,0.0035439775122229704,-2.3870308451570156e-4,0.0073266581089616424,0.0019299745437038514,1.8362819985291903,0.06631824680795062,0.23620652799107306
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2018,-4.1008236056832144e-4,-0.004166857654758214,0.0033466929336215716,0.0019167573097377598,-0.2139458962722968,0.830589584825914,0.8998053835614068
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,BWH_2019,4.001144676035443e-4,-0.0029510027729148527,0.0037512317081219416,0.001709785111844699,0.23401447634074787,0.8149741093120569,0.8909929999893553
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,MGH_2007,-0.0027191831104373806,-0.0058047630686704,3.6639684779563855e-4,0.0015743044171074984,-1.727228279924026,0.084129053193109593,0.2608772475162481
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,MGH_2008,-0.0037994271758577352,-0.00679647841716304,-8.023759345524304e-4,0.0015291358744067053,-2.484689058342764,0.012967714229032055,0.07428961710869211
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,MGH_2009,0.004569743297256321,0.0015949135003721533,0.007544573094140489,0.0015177981944307381,3.010771335757346,0.002606351061421256,0.0214865038722045
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,MGH_2010,0.002545595500461483,-3.639514360132528e-4,0.005455142436936219,0.0014844900005433117,1.7147946429614311,0.08638527146166866,0.262201100319083
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,MGH_2011,0.0030367002045627997,2.3719117759844624e-4,0.0058362092315271535,0.0014283471783392576,2.1260238761374373,0.033503153862164584,0.1470657922780731
E. coli,AMP,Ampicillin,Penicillins,52,0.1208304866765305,520928.0265379879,slope,MGH_2012,0.0034992909254624974,6.906800770470917e-4,0.006307901773877903,0.0014329910501261096,2.441948904813149,0.014609539435280018,0.0796455536955588
