organism,drugA,drugB,drugB_pheno,period,omega,AIC,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value,p.value.BH
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,amplitude,NA,0.05392631129107796,-0.009755804284291195,0.11760842686644711,0.032491472331984454,-1.6597066067084054,0.09699067744692089,0.11638881293630506
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,phase,NA,14.01657644043351,7.769878525013183,20.263274355853852,3.187149337790641,12.555601322457438,5.218431416712973e-36,1.2524235400111134e-35
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2013,-8.756486180631446e-4,-0.017685311810993098,0.015934014574866807,0.008576516367403909,-0.10209840225935479,0.9186796913224694,0.9502225293492647
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2014,0.00934547666481697,7.265549324371283e-5,0.018618297836390227,0.004731118145392513,1.9753209236421705,0.048246789311526046,0.21652217642245838
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2015,0.006528357640971011,-0.004246827510507738,0.01730354279244976,0.005497644465139175,1.1874826905173002,0.23505274132336176,0.5339469679444266
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2016,0.014054301024910341,0.004257089581106823,0.023851512468713858,0.0049986691189647745,2.811608588291795,0.004934703956787941,0.037060633797917596
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2017,0.00502565006945587,-0.005016111114862489,0.01506741125377423,0.005123441687462879,0.9809129050407063,0.3266487010382113,0.6222487271075332
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2018,0.008115310285013352,-0.001762184412399748,0.017992804982426454,0.005039630715322077,1.6102985999232509,0.10734998593585184,0.36920368994760255
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,BWH_2019,0.0015419205510455061,-0.007370251626699064,0.010454092728790077,0.00454711017551478,0.33909900827748135,0.7345390485903762,0.9132107090583056
E. coli,CIP,AMC,NS,52,0.1208304866765305,75967.93532963928,slope,MGH_2007,0.0017686712331078554,-0.0073704658324897625,0.010907808298705473,0.0046629107155468,0.37930626190436306,0.7044648649211673,0.8920284428556615
