organism,drugA,drugB,drugB_pheno,period,t,mean_deviate,sem
E. coli,CIP,AMC,NS,52,1,-0.0574361087183942,0.10751247781593737
E. coli,CIP,AMC,NS,52,2,0.10830265914771404,0.11192238865683833
E. coli,CIP,AMC,NS,52,3,-0.041867871306097336,0.11423702224330762
E. coli,CIP,AMC,NS,52,4,-0.007294087737087038,0.1104665666970957
E. coli,CIP,AMC,NS,52,5,-0.08367393389645585,0.10942319061219853
E. coli,CIP,AMC,NS,52,6,0.08060951720067738,0.10809302584109079
E. coli,CIP,AMC,NS,52,7,0.020124431206825024,0.11336144566568694
E. coli,CIP,AMC,NS,52,8,0.054634765064863366,0.11377141737468048
E. coli,CIP,AMC,NS,52,9,0.037224364534078194,0.10596853579125542
E. coli,CIP,AMC,NS,52,10,0.250344459516695,0.10717981035650292
E. coli,CIP,AMC,NS,52,11,-0.002702642511364485,0.10337305335823342
E. coli,CIP,AMC,NS,52,12,0.046494950709213945,0.10891978372043555
E. coli,CIP,AMC,NS,52,13,0.0483821492068281,0.10762004520533312
E. coli,CIP,AMC,NS,52,14,0.15374922729963106,0.10902769412370267
E. coli,CIP,AMC,NS,52,15,0.03598617377461143,0.10323675789790263
E. coli,CIP,AMC,NS,52,16,-0.019899527196605687,0.10601955301814145
E. coli,CIP,AMC,NS,52,17,-0.15346284425334125,0.10552261110330573
E. coli,CIP,AMC,NS,52,18,0.1630990218019652,0.10409684345203785
E. coli,CIP,AMC,NS,52,19,0.07055273004301453,0.10008073673741151
E. coli,CIP,AMC,NS,52,20,0.09248535988864799,0.10329823037236557
E. coli,CIP,AMC,NS,52,21,0.023938642675831078,0.10672325603006168
E. coli,CIP,AMC,NS,52,22,0.03860875204862777,0.10653448448095285
E. coli,CIP,AMC,NS,52,23,0.04077198603907269,0.10513654403699237
E. coli,CIP,AMC,NS,52,24,-0.012055841451021761,0.10176250014810777
E. coli,CIP,AMC,NS,52,25,0.016318117659628935,0.1032737007960805
E. coli,CIP,AMC,NS,52,26,-0.17981500856020663,0.10171603660588442
E. coli,CIP,AMC,NS,52,27,0.1789778897672796,0.10584425586760522
E. coli,CIP,AMC,NS,52,28,-0.04737387782567048,0.10113285562726096
E. coli,CIP,AMC,NS,52,29,0.036734809334787705,0.10051474111929108
E. coli,CIP,AMC,NS,52,30,0.02129098163683917,0.10213417382503791
E. coli,CIP,AMC,NS,52,31,-0.0671190795908896,0.09665770054576117
E. coli,CIP,AMC,NS,52,32,-0.12025816863090358,0.097772749917849
E. coli,CIP,AMC,NS,52,33,-0.06951598927171423,0.10172484547837421
E. coli,CIP,AMC,NS,52,34,0.02764788028347284,0.09577823631373512
E. coli,CIP,AMC,NS,52,35,-0.10051651454739266,0.09430677142599543
E. coli,CIP,AMC,NS,52,36,0.009739168926404059,0.0948081305654342
E. coli,CIP,AMC,NS,52,37,-0.04619891281616285,0.09200059451333838
E. coli,CIP,AMC,NS,52,38,-0.08996678263998155,0.09847400391390679
E. coli,CIP,AMC,NS,52,39,-0.036542147561926946,0.09778926379554688
E. coli,CIP,AMC,NS,52,40,0.06941641189015736,0.09367013124308057
E. coli,CIP,AMC,NS,52,41,-0.08838840312614255,0.10621079188454881
E. coli,CIP,AMC,NS,52,42,0.0053958284136675925,0.09606670228238928
E. coli,CIP,AMC,NS,52,43,-0.12931193404973396,0.09864525474888616
E. coli,CIP,AMC,NS,52,44,-0.16923886481703138,0.09834531630991428
E. coli,CIP,AMC,NS,52,45,0.12291370608665221,0.10480747078813842
E. coli,CIP,AMC,NS,52,46,-0.0020251444978965504,0.10085300700674729
E. coli,CIP,AMC,NS,52,47,-0.09473947037983141,0.10433265207520365
E. coli,CIP,AMC,NS,52,48,-0.00852262479508645,0.11161103692877707
E. coli,CIP,AMC,NS,52,49,-0.1855779243536402,0.09758407549848268
E. coli,CIP,AMC,NS,52,50,0.03567447610346288,0.0968779210503257
E. coli,CIP,AMC,NS,52,51,-0.014324954206310405,0.09632050442387548
E. coli,CIP,AMC,NS,52,52,0.022523385068054215,0.11447424056346957
E. coli,CIP,AMC,S,52,1,-0.022200519819187244,0.038070638053184926
E. coli,CIP,AMC,S,52,2,0.048518258102492176,0.037458376384114256
E. coli,CIP,AMC,S,52,3,0.05133716814465638,0.040230747396443625
E. coli,CIP,AMC,S,52,4,0.07242268393530789,0.038791954291961514
E. coli,CIP,AMC,S,52,5,-0.008997604765213042,0.03751082406825687
E. coli,CIP,AMC,S,52,6,-0.010604302515309487,0.038457431519526554
E. coli,CIP,AMC,S,52,7,0.06448910517878323,0.04055502015209918
E. coli,CIP,AMC,S,52,8,0.04748512623160095,0.03903341892474657
E. coli,CIP,AMC,S,52,9,0.030778609951428493,0.03769830228015435
E. coli,CIP,AMC,S,52,10,0.03627373896840633,0.038685170423926246
E. coli,CIP,AMC,S,52,11,0.019657165248950077,0.03837914538438156
E. coli,CIP,AMC,S,52,12,0.10781026642647423,0.0398103938375038
E. coli,CIP,AMC,S,52,13,0.07658690048109272,0.039634097523078275
E. coli,CIP,AMC,S,52,14,0.005527085996013198,0.03826050069348571
E. coli,CIP,AMC,S,52,15,0.06327552397363648,0.03920264538127614
E. coli,CIP,AMC,S,52,16,0.05602052283469024,0.03954445689787059
E. coli,CIP,AMC,S,52,17,0.031042706270987187,0.03873354774189069
E. coli,CIP,AMC,S,52,18,0.014033136283379911,0.03685608786696596
E. coli,CIP,AMC,S,52,19,0.020786056902704502,0.036779265103895356
E. coli,CIP,AMC,S,52,20,0.03328660947687779,0.03726583565458006
E. coli,CIP,AMC,S,52,21,0.07810119313496498,0.0395507694877621
E. coli,CIP,AMC,S,52,22,0.0691897738401294,0.037822874886076274
E. coli,CIP,AMC,S,52,23,0.032306086752733325,0.03580268238608639
E. coli,CIP,AMC,S,52,24,-0.016078537864055224,0.03595248819666463
E. coli,CIP,AMC,S,52,25,0.05093045029332614,0.0375072515329895
E. coli,CIP,AMC,S,52,26,-0.038188545334047475,0.035052141510743366
E. coli,CIP,AMC,S,52,27,0.0073881077095774945,0.0391133910650533
E. coli,CIP,AMC,S,52,28,0.028185012124705904,0.034853563189884924
E. coli,CIP,AMC,S,52,29,0.01943672894597361,0.0361278626137521
E. coli,CIP,AMC,S,52,30,-0.05605701417055608,0.03471494062323859
E. coli,CIP,AMC,S,52,31,-0.060518128596951014,0.03430972511765016
E. coli,CIP,AMC,S,52,32,-0.07909903096989143,0.03333249688444254
E. coli,CIP,AMC,S,52,33,-0.082931787482399,0.034269432041252275
E. coli,CIP,AMC,S,52,34,-0.053382368166646876,0.03594267299055718
E. coli,CIP,AMC,S,52,35,-0.049607260321722996,0.0359787014826416
E. coli,CIP,AMC,S,52,36,-0.12372904802594585,0.03367750036942194
E. coli,CIP,AMC,S,52,37,-0.08381264568953692,0.03332445731317848
E. coli,CIP,AMC,S,52,38,-0.08804577582766614,0.033439523064491695
E. coli,CIP,AMC,S,52,39,-0.05013294680585385,0.03370018517936426
E. coli,CIP,AMC,S,52,40,-0.05766308227373223,0.03416099525552923
E. coli,CIP,AMC,S,52,41,0.01609235980857246,0.0361130936032461
E. coli,CIP,AMC,S,52,42,0.01479339395398659,0.034976972314527136
E. coli,CIP,AMC,S,52,43,0.023531846136722476,0.03618147988426176
E. coli,CIP,AMC,S,52,44,-0.03504957458731117,0.03638255909611399
E. coli,CIP,AMC,S,52,45,-0.01151491652524719,0.035849463421891103
E. coli,CIP,AMC,S,52,46,-0.058162022042718926,0.03509165994385214
E. coli,CIP,AMC,S,52,47,-0.03391946229797909,0.03779745788663661
E. coli,CIP,AMC,S,52,48,-0.06511603071080385,0.03663869615735886
E. coli,CIP,AMC,S,52,49,-0.04033210125938827,0.03595989056792027
E. coli,CIP,AMC,S,52,50,0.048925532731905974,0.03717909461890109
E. coli,CIP,AMC,S,52,51,-0.02533680407491957,0.036630755331093084
E. coli,CIP,AMC,S,52,52,-0.040099599683893525,0.04205621541073196
E. coli,CIP,AMP,NS,52,1,0.03014878058889521,0.05806741730558741
E. coli,CIP,AMP,NS,52,2,0.08762113815762154,0.05654881694812943
E. coli,CIP,AMP,NS,52,3,-0.022761990525265677,0.059243341946455336
E. coli,CIP,AMP,NS,52,4,0.009175443989995275,0.05744337935436733
E. coli,CIP,AMP,NS,52,5,-0.03536110397175054,0.05551415573172249
E. coli,CIP,AMP,NS,52,6,2.2080851937794751e-4,0.057550539177631525
E. coli,CIP,AMP,NS,52,7,0.11537201139341083,0.05939016261272926
E. coli,CIP,AMP,NS,52,8,-0.020567618659776653,0.057317702158088346
E. coli,CIP,AMP,NS,52,9,-0.03164504503844106,0.05605988043772024
E. coli,CIP,AMP,NS,52,10,0.10890001516901304,0.05581894539443702
E. coli,CIP,AMP,NS,52,11,-0.04209790191217457,0.055599994622851485
E. coli,CIP,AMP,NS,52,12,0.0794805274442821,0.05654034471898166
E. coli,CIP,AMP,NS,52,13,0.10382622900194283,0.05676800528491547
E. coli,CIP,AMP,NS,52,14,0.05747283755008566,0.05663750673924141
E. coli,CIP,AMP,NS,52,15,0.07306183937373914,0.05605107981811325
E. coli,CIP,AMP,NS,52,16,0.04017149428530681,0.0560185640509448
E. coli,CIP,AMP,NS,52,17,-0.005305468673426061,0.05649262146594842
E. coli,CIP,AMP,NS,52,18,0.007363096675120245,0.054907209060231964
E. coli,CIP,AMP,NS,52,19,0.0338179165664579,0.055521538628572925
E. coli,CIP,AMP,NS,52,20,0.04040036678200772,0.05513787830494778
E. coli,CIP,AMP,NS,52,21,0.12965737806137864,0.05793824132863213
E. coli,CIP,AMP,NS,52,22,0.033830540644249486,0.05501217303222312
E. coli,CIP,AMP,NS,52,23,0.03616636035245425,0.054239417311699595
E. coli,CIP,AMP,NS,52,24,-0.02264513983985576,0.054186414218499346
E. coli,CIP,AMP,NS,52,25,0.062447845859513955,0.055761871917658676
E. coli,CIP,AMP,NS,52,26,-0.07008486077935044,0.054227576408126664
E. coli,CIP,AMP,NS,52,27,0.013555762490367173,0.058127101941087646
E. coli,CIP,AMP,NS,52,28,-0.05317440704011709,0.05276229573416318
E. coli,CIP,AMP,NS,52,29,0.02001072590256067,0.054739426098731316
E. coli,CIP,AMP,NS,52,30,0.04419703836881838,0.055281351377236644
E. coli,CIP,AMP,NS,52,31,-0.04473855526661166,0.05369399571315946
E. coli,CIP,AMP,NS,52,32,-0.09559958926899619,0.0529222653093909
E. coli,CIP,AMP,NS,52,33,-0.021608806707158496,0.056669931443045066
E. coli,CIP,AMP,NS,52,34,0.014141005893005825,0.05554446423365861
E. coli,CIP,AMP,NS,52,35,-0.06398588746970639,0.05422296319931223
E. coli,CIP,AMP,NS,52,36,-0.09824749190018364,0.053905199602120285
E. coli,CIP,AMP,NS,52,37,-0.09809932127505316,0.05182212365199211
E. coli,CIP,AMP,NS,52,38,-0.08224951661064282,0.05274480156992366
E. coli,CIP,AMP,NS,52,39,0.01747741481777378,0.052726459591694544
E. coli,CIP,AMP,NS,52,40,-0.04056381439443463,0.05257622093968907
E. coli,CIP,AMP,NS,52,41,-0.057539151683679395,0.054073403770664503
E. coli,CIP,AMP,NS,52,42,-0.013798417915934445,0.051290237889820796
E. coli,CIP,AMP,NS,52,43,0.01770374440854788,0.05302966049732707
E. coli,CIP,AMP,NS,52,44,-0.07260236352082423,0.053599991489085584
E. coli,CIP,AMP,NS,52,45,0.01649636094360586,0.05548216817076793
E. coli,CIP,AMP,NS,52,46,-0.03858902688139085,0.053609648944188945
E. coli,CIP,AMP,NS,52,47,-0.09260379765546957,0.05604278598375328
E. coli,CIP,AMP,NS,52,48,-0.028225665627495133,0.05816975598748595
E. coli,CIP,AMP,NS,52,49,-0.041596453354498596,0.055302040575682936
E. coli,CIP,AMP,NS,52,50,0.052661789796690714,0.05360655067446953
E. coli,CIP,AMP,NS,52,51,-0.044152897237798104,0.05328971217567481
E. coli,CIP,AMP,NS,52,52,-0.0026013872195064553,0.06317195420678741
E. coli,CIP,AMP,S,52,1,-0.06093086295969123,0.02304860620198252
E. coli,CIP,AMP,S,52,2,-0.01508242616679692,0.024559067358806697
E. coli,CIP,AMP,S,52,3,0.050870068332568436,0.029482952566480904
E. coli,CIP,AMP,S,52,4,0.06329138430779326,0.029184708003518477
E. coli,CIP,AMP,S,52,5,-7.688598069085786e-4,0.026957270975474516
E. coli,CIP,AMP,S,52,6,0.03498853637713631,0.02859763563587417
E. coli,CIP,AMP,S,52,7,0.01621422682913206,0.028772739263197643
E. coli,CIP,AMP,S,52,8,0.010245437485264844,0.02763400551725772
E. coli,CIP,AMP,S,52,9,0.08813063003385758,0.030634727894204652
E. coli,CIP,AMP,S,52,10,-0.009717937703730204,0.02682072456005647
E. coli,CIP,AMP,S,52,11,0.05162567399796075,0.029209075014653998
E. coli,CIP,AMP,S,52,12,0.035191268696280927,0.028472058467594947
E. coli,CIP,AMP,S,52,13,0.04074301544280064,0.028747060116786006
E. coli,CIP,AMP,S,52,14,0.0038841945748253437,0.026385806943143884
E. coli,CIP,AMP,S,52,15,0.018792308477809824,0.027743013424485336
E. coli,CIP,AMP,S,52,16,-0.0022252092137238066,0.02779676308705207
E. coli,CIP,AMP,S,52,17,0.01380420841662381,0.027373086111081805
E. coli,CIP,AMP,S,52,18,0.012951606762646955,0.026848726377848672
E. coli,CIP,AMP,S,52,19,0.031588648560659315,0.028254674377790338
E. coli,CIP,AMP,S,52,20,0.007493169981525126,0.026820698955914563
E. coli,CIP,AMP,S,52,21,0.01866777085107198,0.027556228635502975
E. coli,CIP,AMP,S,52,22,0.004507804910769511,0.02701931639457213
E. coli,CIP,AMP,S,52,23,-0.02891929344622193,0.024313598397783912
E. coli,CIP,AMP,S,52,24,-0.027902800243537022,0.02510330785555029
E. coli,CIP,AMP,S,52,25,0.024531374802795925,0.027338246182934102
E. coli,CIP,AMP,S,52,26,-0.03374503514218903,0.024433563997668446
E. coli,CIP,AMP,S,52,27,0.051242732006248626,0.03077606995746062
E. coli,CIP,AMP,S,52,28,0.050321459911102165,0.027357131980446533
E. coli,CIP,AMP,S,52,29,0.019035213901460252,0.026714464852436424
E. coli,CIP,AMP,S,52,30,-0.03783290952173387,0.024147764721521543
E. coli,CIP,AMP,S,52,31,-0.05622723139831527,0.022794949568962865
E. coli,CIP,AMP,S,52,32,-0.02161305675689662,0.024471963059902034
E. coli,CIP,AMP,S,52,33,-0.03148416188961088,0.0238981905530293
E. coli,CIP,AMP,S,52,34,-0.00687058294016221,0.025252590713441096
E. coli,CIP,AMP,S,52,35,-0.04736915837820673,0.024557497930688843
E. coli,CIP,AMP,S,52,36,-0.010916011492458095,0.02580940720983202
E. coli,CIP,AMP,S,52,37,-0.019848750013181024,0.02453038637405067
E. coli,CIP,AMP,S,52,38,-0.0787976192583301,0.02155461353364227
E. coli,CIP,AMP,S,52,39,-0.03361311481989453,0.023786169427871044
E. coli,CIP,AMP,S,52,40,-0.02780454234022256,0.024784898736013004
E. coli,CIP,AMP,S,52,41,0.0025401078535876804,0.02656235554281991
E. coli,CIP,AMP,S,52,42,0.003076019549290973,0.0261046900114481
E. coli,CIP,AMP,S,52,43,0.00332921393937654,0.026488720230663274
E. coli,CIP,AMP,S,52,44,-0.0297076150815992,0.026111335546872914
E. coli,CIP,AMP,S,52,45,0.01660332858032405,0.027337112209447276
E. coli,CIP,AMP,S,52,46,-0.028155219578194477,0.025468959597581303
E. coli,CIP,AMP,S,52,47,-0.00248225077541253,0.028276613582134628
E. coli,CIP,AMP,S,52,48,-0.02403760537832746,0.026383008366825854
E. coli,CIP,AMP,S,52,49,-0.01978178303948,0.025933262736951877
E. coli,CIP,AMP,S,52,50,0.0010576704476790246,0.0273522309189173
E. coli,CIP,AMP,S,52,51,0.0013683693929372866,0.02798155390960804
E. coli,CIP,AMP,S,52,52,-0.02444343917894116,0.030214077157197147
E. coli,NIT,AMC,NS,52,1,0.010858354628294788,0.05548286633041577
E. coli,NIT,AMC,NS,52,2,-0.04474723853755738,0.0567071067463612
E. coli,NIT,AMC,NS,52,3,-0.0352267951466531,0.046462440718819206
E. coli,NIT,AMC,NS,52,4,0.10053829606374866,0.06470609457197006
E. coli,NIT,AMC,NS,52,5,0.0774951087440485,0.061742317768354246
E. coli,NIT,AMC,NS,52,6,0.10703962515338933,0.0610884864045728
E. coli,NIT,AMC,NS,52,7,0.08300630437271025,0.063876742759053
E. coli,NIT,AMC,NS,52,8,0.08281157999539175,0.06757885397566998
E. coli,NIT,AMC,NS,52,9,0.03712800084804559,0.05585862744283192
E. coli,NIT,AMC,NS,52,10,0.011933550144578108,0.05318681945685728
E. coli,NIT,AMC,NS,52,11,0.03309192049741235,0.05145325717309716
E. coli,NIT,AMC,NS,52,12,-0.022481853670140214,0.051545153616649984
E. coli,NIT,AMC,NS,52,13,0.008495710407118655,0.057752373525006624
E. coli,NIT,AMC,NS,52,14,0.06697968607873658,0.05709804007900387
E. coli,NIT,AMC,NS,52,15,-0.023582094697750133,0.04992931693292265
E. coli,NIT,AMC,NS,52,16,-0.02779998198710165,0.04840559003161981
E. coli,NIT,AMC,NS,52,17,-0.034942690894423686,0.052567302872193404
E. coli,NIT,AMC,NS,52,18,0.028608422786346555,0.05484366998361409
E. coli,NIT,AMC,NS,52,19,0.10698221799449746,0.05956910507355437
E. coli,NIT,AMC,NS,52,20,0.09967189473956498,0.058944918126499386
E. coli,NIT,AMC,NS,52,21,0.07650320507933196,0.06098485672838837
E. coli,NIT,AMC,NS,52,22,-0.02923274279874076,0.052635430118818126
E. coli,NIT,AMC,NS,52,23,0.01732160382249365,0.05910377225406261
E. coli,NIT,AMC,NS,52,24,-0.03429953955769819,0.04786006395107604
E. coli,NIT,AMC,NS,52,25,-0.015879087727918618,0.05417805361701812
E. coli,NIT,AMC,NS,52,26,-0.005815303448503261,0.05261096617956669
