organism,drug_code,drug_name,drug_class,period,t,mean_deviate,sem
E. coli,AMP,Ampicillin,Penicillins,26,1,-0.0414373817193484,0.037771590632607155
E. coli,AMP,Ampicillin,Penicillins,26,2,-0.05828993608478941,0.036689911521168996
E. coli,AMP,Ampicillin,Penicillins,26,3,-0.042307628442821,0.03856944378876528
E. coli,AMP,Ampicillin,Penicillins,26,4,-0.04014476879192072,0.037422572840284954
E. coli,AMP,Ampicillin,Penicillins,26,5,0.027158786759635286,0.037486871860879276
E. coli,AMP,Ampicillin,Penicillins,26,6,0.016378283765046166,0.038031594742837425
E. coli,AMP,Ampicillin,Penicillins,26,7,0.01547006845744838,0.03879351230637243
E. coli,AMP,Ampicillin,Penicillins,26,8,-0.03336213144293219,0.03771261099069682
E. coli,AMP,Ampicillin,Penicillins,26,9,-0.01799145203402825,0.03706339760943948
E. coli,AMP,Ampicillin,Penicillins,26,10,0.08122489950266791,0.03661278810711668
E. coli,AMP,Ampicillin,Penicillins,26,11,-0.0026220739675105343,0.037199965228899574
E. coli,AMP,Ampicillin,Penicillins,26,12,0.028313176148867525,0.03659203852577009
E. coli,AMP,Ampicillin,Penicillins,26,13,-0.02112338268240281,0.037159218935149375
E. coli,AMP,Ampicillin,Penicillins,26,14,-0.01513973224832559,0.03659008931582276
E. coli,AMP,Ampicillin,Penicillins,26,15,0.011035262405377794,0.037110470703433596
E. coli,AMP,Ampicillin,Penicillins,26,16,0.09455549267293287,0.03747962175754562
E. coli,AMP,Ampicillin,Penicillins,26,17,-0.024292270285063984,0.03679740639133106
E. coli,AMP,Ampicillin,Penicillins,26,18,0.02942717213581433,0.0359354463072384
E. coli,AMP,Ampicillin,Penicillins,26,19,0.04754436093745244,0.035820556671055874
E. coli,AMP,Ampicillin,Penicillins,26,20,0.03222379056899386,0.0366590152032888
E. coli,AMP,Ampicillin,Penicillins,26,21,-0.014444114463551917,0.03709902018922292
E. coli,AMP,Ampicillin,Penicillins,26,22,0.04446137187863959,0.03635626346010464
E. coli,AMP,Ampicillin,Penicillins,26,23,-0.02284158660898648,0.03581403429716348
E. coli,AMP,Ampicillin,Penicillins,26,24,-0.01364070583248878,0.03587663747105233
E. coli,AMP,Ampicillin,Penicillins,26,25,-0.011947934532367317,0.03595013312219462
E. coli,AMP,Ampicillin,Penicillins,26,26,-0.025024474290342727,0.03578295360654195
E. coli,AMP,Ampicillin,Penicillins,26,27,0.009589594745883492,0.038031510702685574
E. coli,AMP,Ampicillin,Penicillins,26,28,-0.014395627906691395,0.03431199006743519
E. coli,AMP,Ampicillin,Penicillins,26,29,-0.031216151354769222,0.03478252049892065
E. coli,AMP,Ampicillin,Penicillins,26,30,-0.04997811444044895,0.03526298998098263
E. coli,AMP,Ampicillin,Penicillins,26,31,-0.015974455001123173,0.03463326198666613
E. coli,AMP,Ampicillin,Penicillins,26,32,-0.06902060862966858,0.03453733718379232
E. coli,AMP,Ampicillin,Penicillins,26,33,-0.10790704714482423,0.034536931831563984
E. coli,AMP,Ampicillin,Penicillins,26,34,-0.05870863957233775,0.03464744830701307
E. coli,AMP,Ampicillin,Penicillins,26,35,0.017236746112689442,0.035294151222095935
E. coli,AMP,Ampicillin,Penicillins,26,36,-0.01602211072969992,0.03500154657598493
E. coli,AMP,Ampicillin,Penicillins,26,37,0.003831348310570095,0.033676177004860905
E. coli,AMP,Ampicillin,Penicillins,26,38,-0.01819004555488254,0.03434510595381443
E. coli,AMP,Ampicillin,Penicillins,26,39,-0.032255151197790245,0.03370723394333555
E. coli,AMP,Ampicillin,Penicillins,26,40,0.021601420593445098,0.03424056216064264
