drug_class,period,t,mean_deviate,sem
Macrolides,52,1,0.694598347667729,0.23029689740973
Macrolides,52,2,0.7963746198529691,0.14394159260432007
Macrolides,52,3,0.27333466023784964,0.050985630577515914
Macrolides,52,4,0.3922358029107575,0.134849731668573
Macrolides,52,5,0.5368568671420535,0.14323012235900448
Macrolides,52,6,0.34630911151737964,0.17496960988792484
Macrolides,52,7,0.27484888835389726,0.2106455082687225
Macrolides,52,8,0.16132701872413407,0.030191756149178794
Macrolides,52,9,0.3121084667708646,0.08966678532400942
Macrolides,52,10,0.3096424582519397,0.07213672864731822
Macrolides,52,11,0.2638650671982973,0.021818870429457682
Macrolides,52,12,0.29006731681033643,0.07580035940340071
Macrolides,52,13,0.4051332178939595,0.0955854545081252
Macrolides,52,14,0.3621478849689283,0.080125023737682
Macrolides,52,15,0.2214613484660398,0.1057538208296218
Macrolides,52,16,-0.14780262307292827,0.08064042505452769
Macrolides,52,17,0.10025503153252754,0.06356212218252613
Macrolides,52,18,0.005695971115725662,0.08318133227404881
Macrolides,52,19,0.07826518406478229,0.029828742190100233
Macrolides,52,20,0.1454908800976467,0.06687021989822457
Macrolides,52,21,-0.1853659142844511,0.11327163903941502
Macrolides,52,22,-0.1971812507564918,0.16115023447036989
Macrolides,52,23,-0.05934977932423591,0.10189178601778633
Macrolides,52,24,-0.20246603158773802,0.09392317290618675
Macrolides,52,25,-0.15414333501127553,0.053456505893150395
Macrolides,52,26,-0.31864242236810875,0.06957119821454114
Macrolides,52,27,-0.7321651359025334,0.07942157404045738
Macrolides,52,28,-0.39459431637079073,0.06982336413257842
Macrolides,52,29,-0.49476527513310636,0.1078530246274058
Macrolides,52,30,-0.517390105425461,0.10989596185083131
Macrolides,52,31,-0.5320340753613482,0.07623846150671863
Macrolides,52,32,-0.4173656881750817,0.06456345484849756
Macrolides,52,33,-0.4473597078444067,0.08410756774888314
Macrolides,52,34,-0.48801342474794013,0.08727299306424106
Macrolides,52,35,-0.6048619628575196,0.1052588950115373
Macrolides,52,36,-0.6686347480097335,0.11048567173637733
Macrolides,52,37,-0.4612999697305923,0.05240851965780216
Macrolides,52,38,-0.3326500478032936,0.04665182267302727
Macrolides,52,39,-0.12356488790329374,0.05141109323186129
Macrolides,52,40,-0.0805118285826448,0.05301143548129877
Macrolides,52,41,-0.24435931724927648,0.03343351077010666
Macrolides,52,42,0.013282793479036315,0.05076860459059486
Macrolides,52,43,-0.0999572706022974,0.02395491608737396
Macrolides,52,44,-0.0048725431609123685,0.12050325829285496
Macrolides,52,45,0.14408284318605585,0.040819355166320216
Macrolides,52,46,0.20065128040389882,0.10576761327322785
Macrolides,52,47,-0.05108845143031084,0.13433978855933185
Macrolides,52,48,0.06413334348035526,0.2684253948690279
Macrolides,52,49,0.4186273974703033,0.09827150319786981
Macrolides,52,50,0.4500329029055522,0.13880486569132575
Macrolides,52,51,0.7400514428001249,0.15715955956193747
Macrolides,52,52,-0.040440035062916116,0.09132633017168588
Nitrofurans,52,1,-0.02715434034242008,0.010929835756801726
Nitrofurans,52,2,-0.009228564270081896,0.018777084649849046
Nitrofurans,52,3,-0.03959899489101531,0.02072914710356347
Nitrofurans,52,4,-0.01735633517906669,0.008310953752929106
Nitrofurans,52,5,-0.04480084723744421,0.014908492341467685
Nitrofurans,52,6,-0.04791806842263445,0.005686647451169055
Nitrofurans,52,7,-0.028220165263155184,0.02228487333448323
Nitrofurans,52,8,-0.040783744892416804,0.011690479102534294
Nitrofurans,52,9,0.009492413636822105,0.019494004383531445
Nitrofurans,52,10,-8.633803949555985e-4,0.011356277640343476
Nitrofurans,52,11,0.0028183003135397013,0.015907358134420325
Nitrofurans,52,12,-0.018829542971070277,0.01481850007574943
Nitrofurans,52,13,-0.03361279767984951,0.00979780841697977
Nitrofurans,52,14,-0.020837954177299677,0.013707925469478254
Nitrofurans,52,15,-0.038243970057087864,0.019450686076424334
Nitrofurans,52,16,-0.047756651839707454,0.020097700454428016
Nitrofurans,52,17,-0.024691729753325294,0.025606988233468943
Nitrofurans,52,18,-0.001742713120311723,0.01201904841058954
Nitrofurans,52,19,-0.0342982522033598,0.01604947241750117
Nitrofurans,52,20,-0.013622887350698998,0.007359023826509922
Nitrofurans,52,21,-0.04985522339290369,0.025909310716917048
Nitrofurans,52,22,-0.01698203631285112,0.01623651067141797
Nitrofurans,52,23,-0.0017205796629891413,0.0058777720493492
Nitrofurans,52,24,-0.006569334614835565,0.017208879349542506
Nitrofurans,52,25,0.0010040836228355165,0.01880598403310684
Nitrofurans,52,26,0.01816172940085583,0.010678549347095117
Nitrofurans,52,27,-0.009398528614452128,0.013754703086282283
Nitrofurans,52,28,0.035421530100314645,0.015874354062666882
Nitrofurans,52,29,0.014426058532632924,0.024528716364954253
Nitrofurans,52,30,0.06336254163962952,0.013894173136481593
Nitrofurans,52,31,0.02764531727816787,0.015079816366400068
Nitrofurans,52,32,0.022914060381358826,0.01918064850962915
Nitrofurans,52,33,0.0281590688970789,0.02300174769915177
Nitrofurans,52,34,0.03545352509771223,0.007716084617528137
Nitrofurans,52,35,0.021990748787606085,0.016585010234371343
Nitrofurans,52,36,0.031207354873304238,0.009285710811089027
Nitrofurans,52,37,0.03052629513764733,0.01343211078960937
Nitrofurans,52,38,0.017642560704618292,0.0114231235164177
Nitrofurans,52,39,0.014871423528576533,0.011607709056897054
Nitrofurans,52,40,0.04084858334858164,0.01839022069542641
Nitrofurans,52,41,0.014568364921183786,0.011386491109056601
