organism,drug_code,week,type,mean_deviate
E. coli,AMP,1,Actual mean MIC seasonal deviate,-0.04143738171934841
E. coli,AMP,1,Predicted mean MIC seasonal deviate,0.0014564395668037239
E. coli,AMP,2,Actual mean MIC seasonal deviate,-0.058289936084789454
E. coli,AMP,2,Predicted mean MIC seasonal deviate,3.0909566438899343e-4
E. coli,AMP,3,Actual mean MIC seasonal deviate,-0.042307628442820995
E. coli,AMP,3,Predicted mean MIC seasonal deviate,0.0064682153489647246
E. coli,AMP,4,Actual mean MIC seasonal deviate,-0.04014476879192072
E. coli,AMP,4,Predicted mean MIC seasonal deviate,-0.0024759524856999855
E. coli,AMP,5,Actual mean MIC seasonal deviate,0.027158786759635293
E. coli,AMP,5,Predicted mean MIC seasonal deviate,-0.0034698470682276022
E. coli,AMP,6,Actual mean MIC seasonal deviate,0.016378283765046176
E. coli,AMP,6,Predicted mean MIC seasonal deviate,0.005377681051977975
E. coli,AMP,7,Actual mean MIC seasonal deviate,0.015470068457448371
E. coli,AMP,7,Predicted mean MIC seasonal deviate,-6.801317729614817e-4
E. coli,AMP,8,Actual mean MIC seasonal deviate,-0.03336213144293218
E. coli,AMP,8,Predicted mean MIC seasonal deviate,-0.003167363170977683
E. coli,AMP,9,Actual mean MIC seasonal deviate,-0.01799145203402826
E. coli,AMP,9,Predicted mean MIC seasonal deviate,0.004533855680995887
E. coli,AMP,10,Actual mean MIC seasonal deviate,0.0812248995026679
E. coli,AMP,10,Predicted mean MIC seasonal deviate,-1.4835533660948494e-4
E. coli,AMP,11,Actual mean MIC seasonal deviate,-0.0026220739675105772
E. coli,AMP,11,Predicted mean MIC seasonal deviate,0.004564870564027223
E. coli,AMP,12,Actual mean MIC seasonal deviate,0.028313176148867514
E. coli,AMP,12,Predicted mean MIC seasonal deviate,-0.0012367093293232279
E. coli,AMP,13,Actual mean MIC seasonal deviate,-0.021123382682402825
E. coli,AMP,13,Predicted mean MIC seasonal deviate,0.00341238046105703
E. coli,AMP,14,Actual mean MIC seasonal deviate,-0.015139732248325608
E. coli,AMP,14,Predicted mean MIC seasonal deviate,-0.0011078290363446123
E. coli,AMP,15,Actual mean MIC seasonal deviate,0.011035262405377812
E. coli,AMP,15,Predicted mean MIC seasonal deviate,-0.004618581255778656
E. coli,AMP,16,Actual mean MIC seasonal deviate,0.09455549267293287
E. coli,AMP,16,Predicted mean MIC seasonal deviate,7.843395759682887e-5
E. coli,AMP,17,Actual mean MIC seasonal deviate,-0.024292270285064
E. coli,AMP,17,Predicted mean MIC seasonal deviate,0.0011636805465509766
E. coli,AMP,18,Actual mean MIC seasonal deviate,0.029427172135814323
E. coli,AMP,18,Predicted mean MIC seasonal deviate,-4.545477464622189e-4
E. coli,AMP,19,Actual mean MIC seasonal deviate,0.04754436093745246
